UF	SF	Freq
ɛndz	ɛ̃ndz	123
gɑlf	gɑlf	123
minɪŋ	mĩnɪ̃ŋ	123
stu	stu	123
stɑpɪŋ	stɑpɪ̃ŋ	123
flʌf	flʌf	123
kræʃɪŋ	kræʃɪ̃ŋ	123
fɔrwɝdz	fɔrwɝdz	123
saɪdweɪz	saɪdweɪz	123
tini	tĩni	123
stroʊlɝ	stroʊlɝ	123
ətæk	ətæk	122
steɪt	steɪt	122
kritʃɝ	kritʃɝ	122
noʊwɛr	noʊwɛr	122
fɛrli	fɛrli	122
pɑrkɪŋ	pɑrkɪ̃ŋ	122
deɪndʒɝ	deɪ̃ndʒɝ	122
pʌdəl	pʌdəl	122
vrum	vrũm	122
ɛləveɪtɝ	ɛləveɪtɝ	122
geɪbriəl	geɪbriəl	122
sʌmhaʊ	sʌ̃mhaʊ	121
naɪsɝ	naɪsɝ	121
dʒæki	dʒæki	121
ɪlɛktrɪk	ɪlɛktrɪk	121
ritə	ritə	121
kɑlɪdʒ	kɑlɪdʒ	121
koʊlɪn	koʊlɪ̃n	121
dʒʌdʒ	dʒʌdʒ	121
mʌdi	mʌdi	121
ɝsələ	ɝsələ	121
simd	sĩmd	120
rɪdɪkjələs	rɪdɪkjələs	120
dʒinz	dʒĩnz	120
slaɪdɪŋ	slaɪdɪ̃ŋ	120
ɑpəzɪt	ɑpəzɪt	120
pɪriəd	pɪriəd	120
flæp	flæp	120
rɪtɝn	rɪtɝ̃n	120
feɪk	feɪk	120
traɪæŋgəlz	traɪæ̃ŋgəlz	120
rɑnəld	rɑ̃nəld	120
weɪlz	weɪlz	120
bælɝinə	bælɝĩnə	120
nɑm	nɑ̃m	120
sɛlf	sɛlf	119
koʊl	koʊl	119
tub	tub	119
blaʊs	blaʊs	119
iθən	iθə̃n	119
ɑrk	ɑrk	119
ɑtʃu	ɑtʃu	119
mɑrbəl	mɑrbəl	119
oʊ	oʊ	119
kʌdli	kʌdli	119
meɪn	meɪ̃n	119
əkwɛriəm	əkwɛriə̃m	119
bændɪdʒ	bæ̃ndɪdʒ	118
kɑlɝ	kɑlɝ	118
brɛθ	brɛθ	118
lɔri	lɔri	118
krɪstin	krɪstĩn	118
kærəl	kærəl	118
treɪd	treɪd	118
pʌf	pʌf	117
pɝtɪkjəlɝ	pɝtɪkjəlɝ	117
lɛsən	lɛsə̃n	117
sɛntɝ	sɛ̃ntɝ	117
mus	mus	117
bʌt	bʌt	117
stræp	stræp	117
seɪl	seɪl	117
woʊkən	woʊkə̃n	117
spɔɪl	spɔɪl	117
tɛli	tɛli	117
loʊf	loʊf	117
hɛriət	hɛriət	117
æli	æli	117
kɛrɪktɝ	kɛrɪktɝ	116
lɪp	lɪp	116
naɪtz	naɪts	116
tʃɪrioʊ	tʃɪrioʊ	116
speɪsʃɪp	speɪsʃɪp	116
kɑpiɪŋ	kɑpiɪ̃ŋ	116
snizɪŋ	snizɪ̃ŋ	116
fʌnəl	fʌ̃nəl	116
maɪloʊ	maɪloʊ	116
fɔrm	fɔrm	115
bɝnɪŋ	bɝ̃nɪ̃ŋ	115
nɪtɪŋ	nɪtɪ̃ŋ	115
stɪf	stɪf	115
teɪbəlz	teɪbəlz	115
æktɪŋ	æktɪ̃ŋ	115
væləntaɪn	vælə̃ntaɪ̃n	115
strɔŋgɝ	strɔ̃ŋgɝ	115
bɪgɪn	bɪgɪ̃n	115
loʊɝ	loʊɝ	115
rʌni	rʌ̃ni	115
æroʊ	æroʊ	115
sɑkɝ	sɑkɝ	115
saɪdwɔk	saɪdwɔk	115
eɪslɪn	eɪslɪ̃n	115
blɑ	blɑ	114
æfrɪkɑ	æfrɪkɑ	114
reɪk	reɪk	114
vaɪəlɪn	vaɪəlɪ̃n	114
roʊd	roʊd	114
grɛgɝi	grɛgɝi	114
truθ	truθ	113
fɪnɪʃɪŋ	fɪ̃nɪʃɪ̃ŋ	113
pəlaɪt	pəlaɪt	113
feɪvɝ	feɪvɝ	113
fɛloʊ	fɛloʊ	113
poʊlɝ	poʊlɝ	113
krɪsp	krɪsp	113
mjuzɪkəl	mjuzɪkəl	113
bloʊn	bloʊ̃n	113
pɔ	pɔ	113
dʌkɪz	dʌkɪz	113
blubɛri	blubɛri	113
ræm	ræ̃m	113
hoʊpɪŋ	hoʊpɪ̃ŋ	112
hirɪŋ	hirɪ̃ŋ	112
daʊt	daʊt	112
nɝvəs	nɝvəs	112
hɪd	hɪd	112
soʊldʒɝz	soʊldʒɝz	112
foʊtoʊz	foʊtoʊz	112
prɛsɪŋ	prɛsɪ̃ŋ	112
drɪpɪŋ	drɪpɪ̃ŋ	112
ɛvritaɪm	ɛvritaɪ̃m	112
dʒoʊnz	dʒoʊ̃nz	112
θif	θif	112
skrætʃi	skrætʃi	112
drɪpd	drɪpt	112
bɔbəl	bɔbəl	111
joʊ	joʊ	111
meɪn	meɪ̃n	111
junəvɝsəti	jũnəvɝsəti	111
fɪlɪŋ	fɪlɪ̃ŋ	111
lændɪŋ	læ̃ndɪ̃ŋ	111
saʊθ	saʊθ	111
tʃʌg	tʃʌg	111
pædɪŋtən	pædɪ̃ŋtə̃n	111
dɛnvɝ	dɛ̃nvɝ	111
tʃeɪn	tʃeɪ̃n	111
jɔnɪŋ	jɔ̃nɪ̃ŋ	111
lɛvəl	lɛvəl	111
koʊkəkoʊlɑ	koʊkəkoʊlɑ	111
lɔnmoʊɝ	lɔ̃nmoʊɝ	111
peɪstri	peɪstri	111
mʌg	mʌg	111
plænət	plæ̃nət	111
tʃænəl	tʃæ̃nəl	111
keɪtlɪn	keɪtlɪ̃n	111
bæθtəb	bæθtəb	111
dɝɛkʃən	dɝɛkʃə̃n	110
groʊsɝiz	groʊsɝiz	110
dɪpɛndz	dɪpɛ̃ndz	110
sɪməlɝ	sɪ̃məlɝ	110
wɑsp	wɑsp	110
mæstɝ	mæstɝ	110
wɔr	wɔr	110
tʃɑpɪŋ	tʃɑpɪ̃ŋ	110
skut	skut	110
trɛd	trɛd	110
pit	pit	110
rɑbɝ	rɑbɝ	110
peɪl	peɪl	110
beɪsmənt	beɪsmə̃nt	110
θæŋksgɪvɪŋ	θæ̃ŋksgɪvɪ̃ŋ	110
waɪz	waɪz	109
peɪʃənt	peɪʃə̃nt	109
krɛdət	krɛdət	109
nɪrɝ	nɪrɝ	109
ɛrən	ɛrə̃n	109
rækun	rækũn	109
neɪθən	neɪθə̃n	109
deɪv	deɪv	109
krʌst	krʌst	109
saɪrən	saɪrə̃n	109
klʌk	klʌk	109
liəm	liə̃m	109
wɛs	wɛs	109
pɝri	pɝri	109
əmɛrɪkən	ə̃mɛrɪkə̃n	108
rɛkən	rɛkə̃n	108
hʌŋ	hʌ̃ŋ	108
rɛks	rɛks	108
daɪəl	daɪəl	108
bɝdiz	bɝdiz	108
pɑpi	pɑpi	108
draɪv	draɪv	108
mʌʃ	mʌʃ	108
ɛrɪkə	ɛrɪkə	108
ɔsəm	ɔsə̃m	108
koʊbrə	koʊbrə	108
ɔstrɪtʃ	ɔstrɪtʃ	107
dʒɑʃuə	dʒɑʃuə	107
sʌnflaʊɝ	sʌ̃nflaʊɝ	107
daɪs	daɪs	107
drægənz	drægə̃nz	107
æntɛnə	æ̃ntɛ̃nə	107
roʊlənd	roʊlə̃nd	107
jɑrn	jɑrn	107
greɪ	greɪ	107
prɑdʒɛkt	prɑdʒɛkt	106
bɑs	bɑs	106
ɪtʃi	ɪtʃi	106
ɪl	ɪl	106
hɪnt	hɪ̃nt	106
bɪloʊ	bɪloʊ	106
pɪntʃd	pɪ̃ntʃt	106
træp	træp	106
wɪtʃz	wɪtʃɪz	106
dæfədɪlz	dæfədɪlz	106
ɪglu	ɪglu	106
aɪlənd	aɪlə̃nd	105
wɔrdroʊb	wɔrdroʊb	105
strɪp	strɪp	105
boʊlɪŋ	boʊlɪ̃ŋ	105
nænsi	næ̃nsi	105
drɪvən	drɪvə̃n	105
tɪkəlɪʃ	tɪkəlɪʃ	105
wɪli	wɪli	105
kæriɝ	kæriɝ	105
drækjulə	drækjulə	105
hændi	hæ̃ndi	104
hɑpɪŋ	hɑpɪ̃ŋ	104
maɪkrəweɪv	maɪkrəweɪv	104
dʒɑʃ	dʒɑʃ	104
gɑrlɪk	gɑrlɪk	104
mɛltd	mɛltɪd	104
mætʃɪŋ	mætʃɪ̃ŋ	104
rʌʃɪŋ	rʌʃɪ̃ŋ	104
paɪrətz	paɪrəts	104
dɪzni	dɪzni	104
spɛlɪŋ	spɛlɪ̃ŋ	104
θieɪtɝ	θieɪtɝ	104
rɔɪ	rɔɪ	104
spɛlz	spɛlz	104
hɛlpɝ	hɛlpɝ	104
ɑnə	ɑ̃nə	104
pɔɪntd	pɔɪ̃ntɪd	104
bɝnɑrd	bɝ̃nɑrd	104
eɪmɛn	eɪ̃mɛ̃n	104
kraɪz	kraɪz	103
naɪttaɪm	naɪttaɪ̃m	103
sɛvɝəl	sɛvɝəl	103
hɪp	hɪp	103
ræŋ	ræ̃ŋ	103
bjuti	bjuti	103
bʌmpɝ	bʌ̃mpɝ	103
kjʊriəs	kjʊriəs	103
bʌmbəl	bʌ̃mbəl	103
grinz	grĩnz	103
beɪs	beɪs	103
hup	hup	103
lɪdz	lɪdz	103
haɪdi	haɪdi	103
dɔrə	dɔrə	103
splɪt	splɪt	102
fɪʃz	fɪʃɪz	102
rʌbɪŋ	rʌbɪ̃ŋ	102
meɪəneɪz	meɪə̃neɪz	102
pudəl	pudəl	102
sɛlɪŋ	sɛlɪ̃ŋ	102
doʊnətz	doʊ̃nəts	102
kʌlɝfəl	kʌlɝfəl	102
toʊd	toʊd	102
ʃu	ʃu	102
gɑgɪnz	gɑgɪ̃nz	102
smaɪli	smaɪli	102
ənfɔrtʃənətli	ə̃nfɔrtʃə̃nətli	101
ʃɑk	ʃɑk	101
saɪt	saɪt	101
stɔrm	stɔrm	101
feɪsɪŋ	feɪsɪ̃ŋ	101
ræzbɛri	ræzbɛri	101
flæʃ	flæʃ	101
smɔləst	smɔləst	101
aʊɝsɛlvz	aʊɝsɛlvz	101
kəfeɪ	kəfeɪ	101
kæbənət	kæbə̃nət	101
wɑn	wɑ̃n	101
sɛrə	sɛrə	101
pæsəndʒɝ	pæsə̃ndʒɝ	101
disəl	disəl	101
ɪreɪs	ɪreɪs	101
stɛθəskoʊp	stɛθəskoʊp	100
geɪtz	geɪts	100
koʊɑlə	koʊɑlə	100
pɑrtɪkjəlɝli	pɑrtɪkjəlɝli	99
plɛzənt	plɛzə̃nt	99
mɪns	mɪ̃ns	99
taɪmɝ	taɪ̃mɝ	99
floʊtɪŋ	floʊtɪ̃ŋ	99
wɔrn	wɔrn	99
ɔrdənɛri	ɔrdə̃nɛri	99
græbd	græbd	99
draɪɪŋ	draɪɪ̃ŋ	99
ridz	ridz	99
hʌnt	hʌ̃nt	99
mʌstæʃ	mʌstæʃ	99
stɛm	stɛ̃m	99
tʃoʊz	tʃoʊz	99
əndʌn	ə̃ndʌ̃n	99
bʌzi	bʌzi	99
hæŋɝ	hæ̃ŋɝ	99
slɛd	slɛd	99
dʒɪliən	dʒɪliə̃n	99
sʌkɪŋ	sʌkɪ̃ŋ	98
ɔfɝ	ɔfɝ	98
teɪbəlklɔθ	teɪbəlklɔθ	98
saʊɝ	saʊɝ	98
dʒi	dʒi	98
soʊldʒɝ	soʊldʒɝ	98
fraɪtən	fraɪtə̃n	98
slɛdʒ	slɛdʒ	98
dreɪn	dreɪ̃n	98
ævənu	ævə̃nu	98
pʌmp	pʌ̃mp	98
rɑn	rɑ̃n	98
dʒɝmz	dʒɝ̃mz	98
reɪ	reɪ	98
stɑrfɪʃ	stɑrfɪʃ	98
ɛs	ɛs	98
pikɑk	pikɑk	98
sɔftli	sɔftli	98
ɛniweɪz	ɛ̃niweɪz	98
lɑbstɝz	lɑbstɝz	98
əbzɝvɝ	əbzɝvɝ	98
bɝθ	bɝθ	97
hɛrkət	hɛrkət	97
bɛnt	bɛ̃nt	97
gaʊn	gaʊ̃n	97
trɪpd	trɪpt	97
kæriz	kæriz	97
glʌv	glʌv	97
sneɪlz	sneɪlz	97
beɪkɝ	beɪkɝ	97
maʊθfʊl	maʊθfʊl	97
praɪz	praɪz	97
bʌkəl	bʌkəl	97
kɪpɝ	kɪpɝ	97
ɔfəsɝ	ɔfəsɝ	97
mɪljən	mɪljə̃n	96
lɪt	lɪt	96
brænd	bræ̃nd	96
rul	rul	96
sæmən	sæ̃mə̃n	96
koʊtʃz	koʊtʃɪz	96
hɛk	hɛk	96
kjubz	kjubz	96
laʊndʒ	laʊ̃ndʒ	96
bɑrbɪkju	bɑrbɪkju	96
bʌmpz	bʌ̃mps	96
nudəl	nudəl	96
həreɪ	həreɪ	96
lɔfti	lɔfti	96
geɪb	geɪb	96
kreɪdəl	kreɪdəl	95
ɪkspɛktɪŋ	ɪkspɛktɪ̃ŋ	95
ɛnɝdʒi	ɛ̃nɝdʒi	95
ræskəl	ræskəl	95
stoʊl	stoʊl	95
pɔrtʃ	pɔrtʃ	95
fʌsi	fʌsi	95
suti	suti	95
hæmbɝgɝz	hæ̃mbɝgɝz	95
jusfəl	jusfəl	95
ɑrtəst	ɑrtəst	95
oʊkidoʊki	oʊkidoʊki	95
krʌntʃɪŋ	krʌ̃ntʃɪ̃ŋ	95
ɪmɝdʒənsi	ɪ̃mɝdʒə̃nsi	95
sɛtɪŋ	sɛtɪ̃ŋ	95
sɪmpəl	sɪ̃mpəl	95
kɔɪn	kɔɪ̃n	95
rɑki	rɑki	95
wizəl	wizəl	95
sʌmpleɪs	sʌ̃mpleɪs	95
naɪtmɛr	naɪtmɛr	94
skɑtlənd	skɑtlə̃nd	94
kwɪkɝ	kwɪkɝ	94
bɛr	bɛr	94
mɪzɝəbəl	mɪzɝəbəl	94
jɛlɪŋ	jɛlɪ̃ŋ	94
fudz	fudz	94
spænɝ	spæ̃nɝ	94
di	di	94
bædʒɝ	bædʒɝ	94
streɪtən	streɪtə̃n	94
nɪki	nɪki	94
fraɪ	fraɪ	94
wʊli	wʊli	94
peɪvmənt	peɪvmə̃nt	94
əmiljə	ə̃miljə	94
rɑtən	rɑtə̃n	93
sɛvənθ	sɛvə̃nθ	93
sɔsɝz	sɔsɝz	93
sɛnsəbəl	sɛ̃nsəbəl	93
pɑtɝ	pɑtɝ	93
dʒunjɝ	dʒũnjɝ	93
mɪlkʃeɪk	mɪlkʃeɪk	93
pɛst	pɛst	93
kɑmpoʊst	kɑ̃mpoʊst	93
aɪrəs	aɪrəs	93
kræbz	kræbz	92
daɪɪŋ	daɪɪ̃ŋ	92
ɔltəgɛðɝ	ɔltəgɛðɝ	92
koʊtʃ	koʊtʃ	92
bɪtən	bɪtə̃n	92
ʃutɪŋ	ʃutɪ̃ŋ	92
seɪlɪŋ	seɪlɪ̃ŋ	92
pækədʒ	pækədʒ	92
mɑmə	mɑ̃mə	92
stɑkɪŋ	stɑkɪ̃ŋ	92
dælmeɪʃən	dælmeɪʃə̃n	92
nɪki	nɪki	92
ənhæpi	ə̃nhæpi	92
skwɪʃi	skwɪʃi	92
slæp	slæp	92
spɪlɪŋ	spɪlɪ̃ŋ	92
ʌndɝwɛr	ʌ̃ndɝwɛr	92
bærəl	bærəl	92
pʊlz	pʊlz	91
bɪldɪŋz	bɪldɪ̃ŋz	91
widz	widz	91
smæʃɪŋ	smæʃɪ̃ŋ	91
smɛlɪŋ	smɛlɪ̃ŋ	91
prɛzɪdənt	prɛzɪdə̃nt	91
splɪntɝ	splɪ̃ntɝ	91
lɛd	lɛd	91
greɪəm	greɪə̃m	91
gɛsɪŋ	gɛsɪ̃ŋ	91
blækpul	blækpul	91
neɪoʊmi	neɪoʊ̃mi	91
vaɪtəmən	vaɪtə̃mə̃n	91
bæŋz	bæ̃ŋz	91
pɑkətbʊk	pɑkətbʊk	91
rɪlæks	rɪlæks	90
bleɪm	bleɪ̃m	90
wɑtʃz	wɑtʃɪz	90
seɪfli	seɪfli	90
ful	ful	90
ɪleɪn	ɪleɪ̃n	90
ʃaɪn	ʃaɪ̃n	90
kɑrdbɔrd	kɑrdbɔrd	90
snoʊi	snoʊi	90
spid	spid	90
vɪnəgɝ	vɪ̃nəgɝ	90
bɛθəni	bɛθə̃ni	90
dɑrθ	dɑrθ	90
kɪndɝgɑrtən	kɪ̃ndɝgɑrtə̃n	90
læsi	læsi	89
tʃeɪsd	tʃeɪst	89
lɛdʒ	lɛdʒ	89
bɔsi	bɔsi	89
traɪsɛrətɔps	traɪsɛrətɔps	89
rɪtʃ	rɪtʃ	89
skeɪtɪŋ	skeɪtɪ̃ŋ	89
stɛfəni	stɛfə̃ni	89
spɔrt	spɔrt	89
kɝɑti	kɝɑti	89
strim	strĩm	89
kɔŋ	kɔ̃ŋ	89
dʒænət	dʒæ̃nət	89
hjumən	hjũmə̃n	89
hulə	hulə	89
æbəgeɪl	æbəgeɪl	89
pɛgi	pɛgi	88
wɛrəbaʊts	wɛrəbaʊts	88
bækgraʊnd	bækgraʊ̃nd	88
spɪtɪŋ	spɪtɪ̃ŋ	88
sæn	sæ̃n	88
foʊnz	foʊ̃nz	88
moʊl	moʊl	88
dʒɔɪ	dʒɔɪ	88
skræmbəld	skræ̃mbəld	88
trævəl	trævəl	88
strʌk	strʌk	88
ælfi	ælfi	88
tʃit	tʃit	88
dʒuəlri	dʒuəlri	88
kiθ	kiθ	88
snɪfɪŋ	snɪfɪ̃ŋ	88
skrʌb	skrʌb	88
dʒɛntəlmən	dʒɛ̃ntəlmə̃n	88
eɪd	eɪd	88
himən	hĩmə̃n	88
grənoʊlə	grə̃noʊlə	88
ɑnəst	ɑ̃nəst	87
əpriʃieɪt	əpriʃieɪt	87
neɪbɝ	neɪbɝ	87
ɪnkrɛdəbəl	ɪ̃nkrɛdəbəl	87
dɑrkɝ	dɑrkɝ	87
eɪbisiz	eɪbisiz	87
reɪz	reɪz	87
joʊjoʊ	joʊjoʊ	87
wɔrmɝ	wɔrmɝ	87
ʃɪt	ʃɪt	87
swɪmz	swɪ̃mz	87
bitəl	bitəl	87
dæmədʒ	dæ̃mədʒ	87
mɝiə	mɝiə	87
dɪsəpɪr	dɪsəpɪr	87
bɑŋk	bɑ̃ŋk	87
kɑmə	kɑ̃mə	87
il	il	87
mʌstæʃ	mʌstæʃ	87
didi	didi	87
wɝst	wɝst	86
fəmɪljɝ	fə̃mɪljɝ	86
dɛvəl	dɛvəl	86
dɛzɝt	dɛzɝt	86
kɑrdɪgən	kɑrdɪgə̃n	86
wæks	wæks	86
rɑ	rɑ	86
lɑteɪ	lɑteɪ	86
drɛsɝ	drɛsɝ	86
pild	pild	86
lɪli	lɪli	86
bɑrbɝ	bɑrbɝ	86
mælɝd	mælɝd	86
jɑ	jɑ	86
fɪr	fɪr	85
fɔrs	fɔrs	85
nɑ	nɑ	85
vihɪkəl	vihɪkəl	85
mətɪriəl	mətɪriəl	85
dɪk	dɪk	85
drʌmz	drʌ̃mz	85
fɪʃi	fɪʃi	85
bʌsz	bʌsɪz	85
dʒeɪ	dʒeɪ	85
hæpəli	hæpəli	85
gɑrdənɪŋ	gɑrdə̃nɪ̃ŋ	85
spɑti	spɑti	85
hɑki	hɑki	85
sɝfɪŋ	sɝfɪ̃ŋ	85
pæntiz	pæ̃ntiz	85
bʌgi	bʌgi	84
nusəns	nusə̃ns	84
kɑrtən	kɑrtə̃n	84
lupz	lups	84
prɪkli	prɪkli	84
stætʃu	stætʃu	84
kipɝ	kipɝ	84
ruən	ruə̃n	84
fɛnsz	fɛ̃nsɪz	84
spæŋkɪŋ	spæ̃ŋkɪ̃ŋ	84
pəlismɪn	pəlismɪ̃n	84
keɪp	keɪp	84
dʒeɪkəb	dʒeɪkəb	84
gɝli	gɝli	84
prɛʃəs	prɛʃəs	84
fæsən	fæsə̃n	84
skɪpd	skɪpt	84
hɑtdɔg	hɑtdɔg	84
ɑp	ɑp	84
mɑrdʒi	mɑrdʒi	84
dəkoʊtə	dəkoʊtə	84
sɪtʃueɪʃən	sɪtʃueɪʃə̃n	83
ədʌlt	ədʌlt	83
bɔɪlɪŋ	bɔɪlɪ̃ŋ	83
zaɪləfoʊn	zaɪləfoʊ̃n	83
mɪkstʃɝ	mɪkstʃɝ	83
pɪdʒənz	pɪdʒə̃nz	83
sin	sĩn	83
pɛk	pɛk	83
bʊkkeɪs	bʊkkeɪs	83
eɪbisi	eɪbisi	83
dɑrən	dɑrə̃n	83
gæp	gæp	83
laɪtnɪŋ	laɪtnɪ̃ŋ	83
ʃeɪd	ʃeɪd	83
ju	ju	83
spraʊtz	spraʊts	83
floʊt	floʊt	83
sutkeɪsz	sutkeɪsɪz	83
krɪstəl	krɪstəl	83
boʊlt	boʊlt	83
bid	bid	83
hoʊmmeɪd	hoʊ̃mmeɪd	83
næt	næt	83
vju	vju	82
swɛtʃɝt	swɛtʃɝt	82
wʊli	wʊli	82
bækz	bæks	82
saɪəns	saɪə̃ns	82
ɑrθɝ	ɑrθɝ	82
reɪnz	reɪ̃nz	82
draɪɝ	draɪɝ	82
daɪv	daɪv	82
tɪpɪŋ	tɪpɪ̃ŋ	82
tʃɪr	tʃɪr	82
tʃʌk	tʃʌk	82
fɑloʊd	fɑloʊd	82
sɪnəmən	sɪ̃nə̃mə̃n	82
silz	silz	81
klɛr	klɛr	81
bɝst	bɝst	81
sɪnəmə	sɪ̃nə̃mə	81
əlaɪk	əlaɪk	81
bɪkeɪm	bɪkeɪ̃m	81
stɔrədʒ	stɔrədʒ	81
linɪŋ	lĩnɪ̃ŋ	81
mɛri	mɛri	81
bæriɝ	bæriɝ	81
kəlɛkʃən	kəlɛkʃə̃n	81
kɝɛkt	kɝɛkt	81
rʌnəweɪ	rʌ̃nəweɪ	81
hɛr	hɛr	81
bækpæk	bækpæk	81
glɔriə	glɔriə	81
kɑnsəntreɪtɪŋ	kɑ̃nsə̃ntreɪtɪ̃ŋ	80
lɝnt	lɝ̃nt	80
seɪvɪŋ	seɪvɪ̃ŋ	80
kju	kju	80
mægəzinz	mægəzĩnz	80
fʌdʒ	fʌdʒ	80
ripɔrt	ripɔrt	80
ætɪk	ætɪk	80
kup	kup	80
pʌb	pʌb	80
rut	rut	80
tɪpəkəl	tɪpəkəl	80
taɪtən	taɪtə̃n	80
iən	iə̃n	80
snɔrɪŋ	snɔrɪ̃ŋ	80
drɪp	drɪp	80
snik	snik	80
hum	hũm	80
sɪv	sɪv	80
tʌbi	tʌbi	80
paʊtʃ	paʊtʃ	80
təmeɪtoʊz	tə̃meɪtoʊz	80
ɝɛst	ɝɛst	80
woʊnt	woʊ̃nt	80
dʒɛsi	dʒɛsi	80
spɛnsɝ	spɛ̃nsɝ	80
hɛvən	hɛvə̃n	79
wɔkɝ	wɔkɝ	79
ʃʊrli	ʃʊrli	79
dɪzaɪn	dɪzaɪ̃n	79
pɔɪzən	pɔɪzə̃n	79
tʃæt	tʃæt	79
kɑnsɝt	kɑ̃nsɝt	79
grændfɑðɝ	græ̃ndfɑðɝ	79
rɪmoʊt	rɪ̃moʊt	79
dræg	dræg	79
kɛli	kɛli	79
gævɪn	gævɪ̃n	79
midiəm	midiə̃m	79
reɪtʃəl	reɪtʃəl	79
dʌg	dʌg	79
kɪmbɝli	kɪ̃mbɝli	79
stɛfɑn	stɛfɑ̃n	79
saɪt	saɪt	78
smaɪlz	smaɪlz	78
pəzɪʃən	pəzɪʃə̃n	78
lʌkəli	lʌkəli	78
spaɪk	spaɪk	78
dɔrəθi	dɔrəθi	78
fʌsɪŋ	fʌsɪ̃ŋ	78
skwikz	skwiks	78
dʒʌstən	dʒʌstə̃n	78
hɪroʊ	hɪroʊ	78
kʌvɝɪŋ	kʌvɝɪ̃ŋ	78
æks	æks	78
greɪʃəs	greɪʃəs	78
oʊvəl	oʊvəl	78
æntitɝ	æ̃ntitɝ	78
nɑb	nɑb	78
dʌgləs	dʌgləs	78
ʃrɛk	ʃrɛk	78
ʃənɛl	ʃə̃nɛl	78
kærəvæn	kærəvæ̃n	77
dɪpɑrtmənt	dɪpɑrtmə̃nt	77
ræʃ	ræʃ	77
snɪf	snɪf	77
wɔlrəs	wɔlrəs	77
rɛk	rɛk	77
dʌtʃ	dʌtʃ	77
pʊʃz	pʊʃɪz	77
rɛsəpi	rɛsəpi	77
deɪtaɪm	deɪtaɪ̃m	77
friz	friz	77
hɛri	hɛri	77
ʃeɪv	ʃeɪv	77
mɛg	mɛg	77
lɪn	lɪ̃n	77
skɑti	skɑti	77
ɪntərɛst	ɪ̃ntərɛst	76
frænsɪs	fræ̃nsɪs	76
kəmpɛrd	kə̃mpɛrd	76
dʒɑnəθən	dʒɑ̃nəθə̃n	76
tɛksəs	tɛksəs	76
sɛndɪŋ	sɛ̃ndɪ̃ŋ	76
lup	lup	76
rɛlətɪv	rɛlətɪv	76
sʌmɝtaɪm	sʌ̃mɝtaɪ̃m	76
swɑp	swɑp	76
pɛrənt	pɛrə̃nt	76
wɑnd	wɑ̃nd	76
dɔrbɛl	dɔrbɛl	76
vaɪdə	vaɪdə	76
gu	gu	76
bɑbən	bɑbə̃n	76
bɑnfaɪɝ	bɑ̃nfaɪɝ	76
pɛgz	pɛgz	76
sɔlti	sɔlti	76
neɪbɝhʊd	neɪbɝhʊd	76
əntaɪ	ə̃ntaɪ	76
pɪtsbɝg	pɪtsbɝg	76
ɛnihaʊ	ɛ̃nihaʊ	75
ɪmædʒəneɪʃən	ɪ̃mædʒə̃neɪʃə̃n	75
treɪnɪŋ	treɪ̃nɪ̃ŋ	75
ɪmprɛsd	ɪ̃mprɛst	75
bɔɪl	bɔɪl	75
læd	læd	75
frizɪŋ	frizɪ̃ŋ	75
wæk	wæk	75
əpɑrtmənt	əpɑrtmə̃nt	75
beɪðɪŋ	beɪðɪ̃ŋ	75
rulɝ	rulɝ	75
skwɑʃɪŋ	skwɑʃɪ̃ŋ	75
ɪnstrəmənt	ɪ̃nstrə̃mə̃nt	75
lɔrən	lɔrə̃n	75
dɛkɝeɪʃən	dɛkɝeɪʃə̃n	75
ɛdi	ɛdi	75
lɑlipɑpz	lɑlipɑps	75
trʌmpət	trʌ̃mpət	75
bɑp	bɑp	75
sɑgi	sɑgi	75
rʌf	rʌf	75
lɛnitə	lɛ̃nitə	75
pɛtəl	pɛtəl	74
kɛmɪst	kɛ̃mɪst	74
prɑməsd	prɑ̃məst	74
tɛmpɝ	tɛ̃mpɝ	74
dɪzɝv	dɪzɝv	74
sɪgnəl	sɪgnəl	74
pækɪŋ	pækɪ̃ŋ	74
mæt	mæt	74
swɪtʃd	swɪtʃt	74
skrin	skrĩn	74
blidɪŋ	blidɪ̃ŋ	74
pædəl	pædəl	74
mɑrgɝɪt	mɑrgɝɪt	74
kəmplit	kə̃mplit	74
æskz	æsks	74
pɛrətz	pɛrəts	74
bʌkətz	bʌkəts	74
nil	nil	74
floʊn	floʊ̃n	74
stivən	stivə̃n	74
boʊ	boʊ	74
kɑnsəntreɪt	kɑ̃nsə̃ntreɪt	74
skeɪl	skeɪl	74
sʌndeɪ	sʌ̃ndeɪ	74
spɑrkli	spɑrkli	74
mɪnt	mɪ̃nt	74
rɪvɝsɪŋ	rɪvɝsɪ̃ŋ	74
waɪnɪŋ	waɪ̃nɪ̃ŋ	74
flæʃlaɪt	flæʃlaɪt	74
briskoʊ	briskoʊ	74
moʊnik	moʊ̃nik	74
wɪðɪn	wɪðɪ̃n	73
nætʃɝəl	nætʃɝəl	73
ɪvɛntʃəwəli	ɪvɛ̃ntʃəwəli	73
sɪksθ	sɪksθ	73
tʌmbəl	tʌ̃mbəl	73
hɛðɝ	hɛðɝ	73
bitɪŋ	bitɪ̃ŋ	73
hʊrɑ	hʊrɑ	73
bɛrid	bɛrid	73
laɪthaʊs	laɪthaʊs	73
