UF	SF	Freq
kœr.nɘr.	kœr.nɘr.	17
pɔst.au.to.	pɔst.au.to.	17
lɔy.tɘt.	lɔy.tɘt.	17
ʃrɛk.	ʃrɛk.	17
gɘ.dɪxt.	gɘ.dɪxt.	17
lɛrnt.	lɛrnt.	17
kra.tsɘn.	kra.tsɘn.	17
va.ri.an.tɘ.	va.ri.an.tɘ.	17
tsɪ.tɘr.al.	tsɪ.tɘr.al.	17
an.ze.ɘn.	an.ze.ɘn.	17
hɛr.tsɘn.	hɛr.tsɘn.	17
ʃal.tɘr.	ʃal.tɘr.	17
pa.sɘ.	pa.sɘ.	17
fai.nɘn.	fai.nɘn.	17
vɛg.ge.ɘn.	vɛk.ge.ɘn.	17
kalb.	kalp.	17
mɪ.taks.ʃlaf.	mɪ.taks.ʃlaf.	17
he.bɘn.	he.bɘn.	17
fɛr.bɪn.dɘn.	fɛr.bɪn.dɘn.	17
klai.nɘn.	klai.nɘn.	17
fɛr.fa.rɘn.	fɛr.fa.rɘn.	17
ra.fi.nir.tɘ.	ra.fi.nir.tɘ.	17
bɔy.lɘ.	bɔy.lɘ.	17
far.tsɔyg.	far.tsɔyk.	17
an.hal.tɘn.	an.hal.tɘn.	17
fɛn.dɘ.	fɛn.dɘ.	17
ru.fɘn.	ru.fɘn.	17
hi.ny.bɘr.	hi.ny.bɘr.	17
taŋkt.	taŋkt.	17
ain.kau.fɘn.	ain.kau.fɘn.	17
gɘ.hɪrn.	gɘ.hɪrn.	17
fy.tɘrt.	fy.tɘrt.	17
ʃɔrn.ʃtain.fe.gɘr.	ʃɔrn.ʃtain.fe.gɘr.	17
pfai.fɘ.	pfai.fɘ.	17
drɪ.nɘn.	drɪ.nɘn.	17
far.plan.	far.plan.	17
krɛt.	krɛt.	17
bɪ.tɘn.	bɪ.tɘn.	17
u.rɘn.	u.rɘn.	17
gɘ.taŋkt.	gɘ.taŋkt.	17
nɔr.ma.lɘn.	nɔr.ma.lɘn.	17
aus.zɪxt.	aus.zɪxt.	17
ast.	ast.	17
gry.nɘ.	gry.nɘ.	17
ri.zɪx.	ri.zɪx.	17
ʃprɪ.tsɘn.	ʃprɪ.tsɘn.	17
ʃvar.tsɘs.	ʃvar.tsɘs.	17
gɘ.brɔ.xɘn.	gɘ.brɔ.xɘn.	17
zib.tsɪx.	zip.tsɪx.	17
for.ʃlag.	for.ʃlak.	17
ka.rʊ.sɛl.	ka.rʊ.sɛl.	17
fɔyxt.	fɔyxt.	17
ab.bau.ɘn.	ap.bau.ɘn.	17
vɪn.dɘln.	vɪn.dɘln.	16
dʊrx.gɘ.fa.rɘn.	dʊrx.gɘ.fa.rɘn.	16
ar.mɘn.	ar.mɘn.	16
drɪ.tɘn.	drɪ.tɘn.	16
ain.fa.xɘ.	ain.fa.xɘ.	16
gɘ.rɛt.	gɘ.rɛt.	16
bau.klœ.tsɘ.	bau.klœ.tsɘ.	16
pɔst.kar.tɘ.	pɔst.kar.tɘ.	16
nɔr.mal.	nɔr.mal.	16
ra.ke.tɘn.	ra.ke.tɘn.	16
blut.	blut.	16
kœ.pfɘ.	kœ.pfɘ.	16
ra.fi.nir.tɘs.	ra.fi.nir.tɘs.	16
ba.dɘn.	ba.dɘn.	16
bro.tɘ.	bro.tɘ.	16
fɛst.	fɛst.	16
kreps.	kreps.	16
ʃty.kɘ.	ʃty.kɘ.	16
ʃpɪ.tsɘr.	ʃpɪ.tsɘr.	16
tsɛlt.	tsɛlt.	16
aus.gɘ.tso.gɘn.	aus.gɘ.tso.gɘn.	16
ky.gɘl.xɘn.	ky.gɘl.xɘn.	16
bux.ʃta.bɘ.	bux.ʃta.bɘ.	16
hɪn.gɘ.zɛtst.	hɪn.gɘ.zɛtst.	16
ʊm.blɛ.tɘrn.	ʊm.blɛ.tɘrn.	16
ki.lo.	ki.lo.	16
fɔrt.	fɔrt.	16
bɛ.kɘ.rai.	bɛ.kɘ.rai.	16
ʃɪ.kɘr.	ʃɪ.kɘr.	16
dom.	dom.	16
bʊn.tɘr.	bʊn.tɘr.	16
fɛn.dɘst.	fɛn.dɘst.	16
kyl.	kyl.	16
hɛl.blau.	hɛl.blau.	16
ve.gɘ.	ve.gɘ.	16
ruf.	ruf.	16
ʃy.tɘln.	ʃy.tɘln.	16
drai.	drai.	16
fɪ.ʃɘr.	fɪ.ʃɘr.	16
gɘ.dret.	gɘ.dret.	16
rur.	rur.	16
mɛrkst.	mɛrkst.	16
ka.pri.o.lɘn.	ka.pri.o.lɘn.	16
vɛg.fa.rɘn.	vɛk.fa.rɘn.	16
kʊt.ʃɘ.	kʊt.ʃɘ.	16
kɔxst.	kɔxst.	16
ʃaum.	ʃaum.	16
ran.hal.tɘn.	ran.hal.tɘn.	16
er.stɘns.	er.stɘns.	16
vɔr.tɘ.	vɔr.tɘ.	16
no.vɛm.bɘr.	no.vɛm.bɘr.	16
ri.xɘn.	ri.xɘn.	16
ka.mɘn.	ka.mɘn.	16
zatz.	zats.	16
al.tsu.	al.tsu.	16
hy.pfɘn.	hy.pfɘn.	16
vʊn.dɘrt.	vʊn.dɘrt.	16
ain.gɘ.la.dɘn.	ain.gɘ.la.dɘn.	16
dampf.	dampf.	16
auf.gɘ.rɔymt.	auf.gɘ.rɔymt.	16
kʊr.bɘln.	kʊr.bɘln.	16
zi.re.nɘ.	zi.re.nɘ.	16
ho.zɘn.	ho.zɘn.	16
fɛrn.ze.ɘr.	fɛrn.ze.ɘr.	16
ʃy.sɘl.	ʃy.sɘl.	16
tʊ.nɘls.	tʊ.nɘls.	16
bɘ.fɛs.tɪ.gɘn.	bɘ.fɛs.tɪ.gɘn.	16
kɛl.nɘr.	kɛl.nɘr.	16
gɘ.mɛ.sɘn.	gɘ.mɛ.sɘn.	16
pus.tɘ.	pus.tɘ.	16
fɛlst.	fɛlst.	16
zai.fɘ.	zai.fɘ.	16
ko.lɘ.	ko.lɘ.	16
gɘ.lʊ.ŋɘn.	gɘ.lʊ.ŋɘn.	16
tɪn.tɘn.fɪʃ.	tɪn.tɘn.fɪʃ.	16
ton.	ton.	16
kno.tɘn.	kno.tɘn.	16
aus.gɘ.ga.ŋɘn.	aus.gɘ.ga.ŋɘn.	16
kyst.	kyst.	16
ab.gɘ.baut.	ap.gɘ.baut.	16
ze.hʊnd.	ze.hʊnt.	16
ʃɪxt.	ʃɪxt.	16
gɔt.	gɔt.	16
a.ŋɘlt.	a.ŋɘlt.	16
fɛrn.ror.	fɛrn.ror.	16
hɛ.rʊn.tɘr.	hɛ.rʊn.tɘr.	15
vɪrft.	vɪrft.	15
ʃtrym.pfɘ.	ʃtrym.pfɘ.	15
zau.zɘn.	zau.zɘn.	15
gri.xɘn.land.	gri.xɘn.lant.	15
hɛn.xɘn.	hɛn.xɘn.	15
dɔrf.	dɔrf.	15
mi.nu.tɘ.	mi.nu.tɘ.	15
ab.gɘ.krikt.	ap.gɘ.krikt.	15
gɛs.tɘ.	gɛs.tɘ.	15
hal.bɘs.	hal.bɘs.	15
ra.fi.nir.tɘr.	ra.fi.nir.tɘr.	15
for.gɘ.ʃtɛlt.	for.gɘ.ʃtɛlt.	15
ʃtamt.	ʃtamt.	15
blaipst.	blaipst.	15
pfo.tɘn.	pfo.tɘn.	15
drɛ.kɪ.gɘ.	drɛ.kɪ.gɘ.	15
kɔm.pli.tsir.tɘ.	kɔm.pli.tsir.tɘ.	15
ʃlɛ.pɘn.	ʃlɛ.pɘn.	15
kɔx.tɔpf.	kɔx.tɔpf.	15
ʃtail.	ʃtail.	15
zɪtz.	zɪts.	15
grai.fɘn.	grai.fɘn.	15
rʊn.tɘr.fa.lɘn.	rʊn.tɘr.fa.lɘn.	15
gry.sɘ.	gry.sɘ.	15
aus.lai.ɘn.	aus.lai.ɘn.	15
ʃte.tos.kop.	ʃte.tos.kop.	15
ʃlɛx.tɘr.	ʃlɛx.tɘr.	15
ʃtø.rɘn.	ʃtø.rɘn.	15
haupt.za.xɘ.	haupt.za.xɘ.	15
vyn.ʃɘ.	vyn.ʃɘ.	15
ʃø.nɘs.	ʃø.nɘs.	15
gru.zɘ.lɪx.	gru.zɘ.lɪx.	15
bɘ.ʃtɛ.lɘn.	bɘ.ʃtɛ.lɘn.	15
aus.pʊf.	aus.pʊf.	15
ma.lɘ.	ma.lɘ.	15
hox.klɛ.tɘrn.	hox.klɛ.tɘrn.	15
bɘ.ru.ɪ.gɘnd.	bɘ.ru.ɪ.gɘnt.	15
bir.	bir.	15
tsal.	tsal.	15
ro.za.	ro.za.	15
ʃi.bɘ.	ʃi.bɘ.	15
za.mɘlt.	za.mɘlt.	15
ʃpil.	ʃpil.	15
ko.lɘn.	ko.lɘn.	15
vak.sɘn.	vak.sɘn.	15
ʃtɛrn.xɘn.	ʃtɛrn.xɘn.	15
tsu.za.mɘn.zɛ.tsɘn.	tsu.za.mɘn.zɛ.tsɘn.	15
vɛg.pa.kɘn.	vɛk.pa.kɘn.	15
mas.kɘ.	mas.kɘ.	15
vɪld.park.	vɪlt.park.	15
var.mɘn.	var.mɘn.	15
glat.	glat.	15
blas.	blas.	15
ʃta.tsi.ons.for.ʃte.ɘr.	ʃta.tsi.ons.for.ʃte.ɘr.	15
gɘ.ʃtrai.xɘlt.	gɘ.ʃtrai.xɘlt.	15
zib.tɘ.	zip.tɘ.	15
ɛr.vɪʃt.	ɛr.vɪʃt.	15
ais.krem.	ais.krem.	15
vɛg.gɘ.nɔ.mɘn.	vɛk.gɘ.nɔ.mɘn.	15
tʊl.pɘn.	tʊl.pɘn.	15
gɘ.lɛrnt.	gɘ.lɛrnt.	15
ai.gɘ.nɘn.	ai.gɘ.nɘn.	15
gɘ.gra.bɘn.	gɘ.gra.bɘn.	15
bra.tɘn.	bra.tɘn.	15
gy.tɘr.ban.hof.	gy.tɘr.ban.hof.	15
ʃpa.nɘn.dɘn.	ʃpa.nɘn.dɘn.	15
tram.ba.nɘn.	tram.ba.nɘn.	15
mai.	mai.	15
raus.ʃmai.sɘn.	raus.ʃmai.sɘn.	15
hɔ.land.	hɔ.lant.	15
ain.la.dɘn.	ain.la.dɘn.	15
laŋ.za.mɘr.	laŋ.za.mɘr.	15
traipst.	traipst.	15
rʊn.tɘr.fɛlt.	rʊn.tɘr.fɛlt.	15
ɛr.kɛnt.	ɛr.kɛnt.	15
barʃ.	barʃ.	15
kʊm.pɘl.	kʊm.pɘl.	15
pa.rɘ.	pa.rɘ.	15
ʊm.bɪn.dɘn.	ʊm.bɪn.dɘn.	15
ka.nal.	ka.nal.	15
ka.pʊ.tɘs.	ka.pʊ.tɘs.	15
y.bɘr.pryft.	y.bɘr.pryft.	15
ʃau.kɘln.	ʃau.kɘln.	15
ai.dɛk.sɘ.	ai.dɛk.sɘ.	15
rɔl.ʃu.	rɔl.ʃu.	15
blau.ɘ.	blau.ɘ.	15
tyr.mɘ.	tyr.mɘ.	15
ab.gɘ.kɔ.pɘlt.	ap.gɘ.kɔ.pɘlt.	15
vɛg.brɪ.ŋɘn.	vɛk.brɪ.ŋɘn.	15
gɘ.launt.	gɘ.launt.	14
vɛ.lɘ.	vɛ.lɘ.	14
dɔ.pɘl.dɛ.kɘr.	dɔ.pɘl.dɛ.kɘr.	14
an.bau.ɘn.	an.bau.ɘn.	14
krɔy.tɘr.	krɔy.tɘr.	14
te.ma.	te.ma.	14
at.las.	at.las.	14
bɪ.tɘr.	bɪ.tɘr.	14
ʃvax.	ʃvax.	14
tsɔyks.	tsɔyks.	14
na.sɘn.	na.sɘn.	14
rɔ.bɘ.	rɔ.bɘ.	14
blø.dɘn.	blø.dɘn.	14
ma.lɘn.	ma.lɘn.	14
na.sɘr.	na.sɘr.	14
dɔ.pɘlt.	dɔ.pɘlt.	14
fy.lɘn.	fy.lɘn.	14
ta.gɘs.	ta.gɘs.	14
ab.fal.	ap.fal.	14
y.bɘr.mɔr.gɘn.	y.bɘr.mɔr.gɘn.	14
hɪn.tɘ.rɘ.	hɪn.tɘ.rɘ.	14
ba.lɑ.sirt.	ba.lɑ.sirt.	14
ɛm.pfɪnd.lɪx.	ɛm.pfɪnt.lɪx.	14
pe.tɘrs.	pe.tɘrs.	14
ʃɛŋ.kɘn.	ʃɛŋ.kɘn.	14
kal.	kal.	14
ɛks.pɛr.tɘ.	ɛks.pɛr.tɘ.	14
vo.møg.lɪx.	vo.møk.lɪx.	14
gɘ.mɪʃt.	gɘ.mɪʃt.	14
ju.bɘl.	ju.bɘl.	14
ain.tsɘl.nɘn.	ain.tsɘl.nɘn.	14
vynʃt.	vynʃt.	14
vʊn.dɘr.ʃøn.	vʊn.dɘr.ʃøn.	14
hox.tsait.	hox.tsait.	14
lɛ.ŋɘ.rɘ.	lɛ.ŋɘ.rɘ.	14
ma.ʃi.nɘ.	ma.ʃi.nɘ.	14
gɘ.kne.tɘt.	gɘ.kne.tɘt.	14
ʊn.tɘ.rɘ.	ʊn.tɘ.rɘ.	14
va.kɘ.lɪx.	va.kɘ.lɪx.	14
hai.zɘr.	hai.zɘr.	14
ba.dɘ.ho.zɘ.	ba.dɘ.ho.zɘ.	14
ʃtyrtst.	ʃtyrtst.	14
fy.rɘn.	fy.rɘn.	14
aus.pro.birt.	aus.pro.birt.	14
das.zɛl.bɘ.	das.zɛl.bɘ.	14
kœr.pɘr.	kœr.pɘr.	14
drai.tsen.	drai.tsen.	14
mɪt.ʃpi.lɘr.	mɪt.ʃpi.lɘr.	14
o.mas.	o.mas.	14
klai.nɘ.rɘn.	klai.nɘ.rɘn.	14
ɛnt.zɪ.nɘ.	ɛnt.zɪ.nɘ.	14
rat.haus.	rat.haus.	14
kɔx.bux.	kɔx.bux.	14
ʊm.fa.lɘn.	ʊm.fa.lɘn.	14
ʃmʊ.tsɪx.	ʃmʊ.tsɪx.	14
at.lan.tɪk.	at.lan.tɪk.	14
ʃnai.dɘst.	ʃnai.dɘst.	14
zɪ.tsɘ.	zɪ.tsɘ.	14
ʃvɛ.stɘr.	ʃvɛ.stɘr.	14
tsvai.tɘns.	tsvai.tɘns.	14
ʃtand.	ʃtant.	14
bɘ.raits.	bɘ.raits.	14
ax.tsɪx.	ax.tsɪx.	14
ɔk.to.bɘr.	ɔk.to.bɘr.	14
ka.pʊ.tɘn.	ka.pʊ.tɘn.	14
zo.gɘ.nan.tɘ.	zo.gɘ.nan.tɘ.	14
bø.zɘ.	bø.zɘ.	14
ʊn.tɘr.ʃid.lɪ.xɘ.	ʊn.tɘr.ʃit.lɪ.xɘ.	14
rʊs.land.	rʊs.lant.	14
grau.ɘ.	grau.ɘ.	14
ʃvi.rɪ.gɘr.	ʃvi.rɪ.gɘr.	14
hø.ɘ.	hø.ɘ.	14
na.zɘn.lɔx.	na.zɘn.lɔx.	14
gan.tsɘr.	gan.tsɘr.	14
fɛr.artz.tɘn.	fɛr.arts.tɘn.	14
auf.gɘ.fa.lɘn.	auf.gɘ.fa.lɘn.	14
fɛst.kle.bɘn.	fɛst.kle.bɘn.	14
krʊm.	krʊm.	14
maul.	maul.	14
ʃtør.	ʃtør.	14
gan.tsɘ.	gan.tsɘ.	14
ʃɔrn.ʃtai.nɘ.	ʃɔrn.ʃtai.nɘ.	14
frirt.	frirt.	14
ri.zɘn.gros.	ri.zɘn.gros.	14
ge.gɘn.zai.tɪx.	ge.gɘn.zai.tɪx.	14
van.dɘ.rʊŋ.	van.dɘ.rʊŋ.	14
nɪ.kɘr.xɘn.	nɪ.kɘr.xɘn.	14
fɛr.ʃi.dɘ.nɘn.	fɛr.ʃi.dɘ.nɘn.	14
pi.ra.tɘn.	pi.ra.tɘn.	14
ab.tail.	ap.tail.	14
vɛg.vɪ.ʃɘn.	vɛk.vɪ.ʃɘn.	14
ʃlɪ.ŋɘl.	ʃlɪ.ŋɘl.	14
for.zɪx.tɪ.gɘr.	for.zɪx.tɪ.gɘr.	14
aus.dry.kɘn.	aus.dry.kɘn.	14
band.	bant.	14
ror.	ror.	14
tsɔyg.	tsɔyk.	14
laut.	laut.	14
ham.pɘl.man.	ham.pɘl.man.	14
gryn.dɘln.	gryn.dɘln.	14
a.ta.kɘ.	a.ta.kɘ.	14
hand.ʃu.	hant.ʃu.	14
ʃlɛŋ.kɘrn.	ʃlɛŋ.kɘrn.	14
gɘ.tra.gɘn.	gɘ.tra.gɘn.	13
last.va.gɘn.	last.va.gɘn.	13
ain.bau.ɘn.	ain.bau.ɘn.	13
ʃnɛ.lɘ.	ʃnɛ.lɘ.	13
di.no.zau.ri.ɘr.	di.no.zau.ri.ɘr.	13
drɪ.tɘr.	drɪ.tɘr.	13
fɛr.li.rɘn.	fɛr.li.rɘn.	13
hɪn.tɘr.ain.an.dɘr.	hɪn.tɘr.ain.an.dɘr.	13
fɛr.ʃlʊkt.	fɛr.ʃlʊkt.	13
glai.xɘn.	glai.xɘn.	13
hai.ɘ.	hai.ɘ.	13
ʃpɛk.ta.kʊ.lɛr.	ʃpɛk.ta.kʊ.lɛr.	13
ʊ.ni.	ʊ.ni.	13
ɛx.tɘs.	ɛx.tɘs.	13
fra.gɘn.	fra.gɘn.	13
fɔl.mond.	fɔl.mont.	13
ain.tsɪ.gɘn.	ain.tsɪ.gɘn.	13
vyn.ʃɘn.	vyn.ʃɘn.	13
gram.	gram.	13
haŋ.	haŋ.	13
gros.mʊ.tɘr.	gros.mʊ.tɘr.	13
pus.tɘt.	pus.tɘt.	13
lɔyxt.tyr.mɘ.	lɔyxt.tyr.mɘ.	13
auf.gɘ.nɔ.mɘn.	auf.gɘ.nɔ.mɘn.	13
far.rɛ.dɘr.	far.rɛ.dɘr.	13
brau.nɘr.	brau.nɘr.	13
ab.rai.sɘn.	ap.rai.sɘn.	13
hy.lɘ.	hy.lɘ.	13
gɘ.ʃlɔ.sɘn.	gɘ.ʃlɔ.sɘn.	13
brɛm.zɘn.	brɛm.zɘn.	13
dʊ.ʃɘ.	dʊ.ʃɘ.	13
blɛ.tɘrn.	blɛ.tɘrn.	13
fy.lɘn.	fy.lɘn.	13
vyr.fɘ.lɘ.	vyr.fɘ.lɘ.	13
li.gɘ.	li.gɘ.	13
fø.gɘl.xɘn.	fø.gɘl.xɘn.	13
fɛr.nɘ.	fɛr.nɘ.	13
frɔyn.dɪn.	frɔyn.dɪn.	13
ab.hɔr.xɘn.	ap.hɔr.xɘn.	13
ka.rir.tɘ.	ka.rir.tɘ.	13
ʃtrɛŋ.	ʃtrɛŋ.	13
ʃrɛk.lɪ.xɘs.	ʃrɛk.lɪ.xɘs.	13
fɛr.pakt.	fɛr.pakt.	13
gɘ.mai.nɘr.	gɘ.mai.nɘr.	13
tsu.kʊnft.	tsu.kʊnft.	13
gɘ.haim.nɪs.	gɘ.haim.nɪs.	13
pfo.tɘ.	pfo.tɘ.	13
o.bɘr.stɘ.	o.bɘr.stɘ.	13
ɛrnst.	ɛrnst.	13
ɪn.tɘ.rɛ.si.rɘn.	ɪn.tɘ.rɛ.si.rɘn.	13
fɛr.rʊtʃt.	fɛr.rʊtʃt.	13
zɪ.gna.lɘ.	zɪ.gna.lɘ.	13
prɪ.kɘlnd.	prɪ.kɘlnt.	13
byx.lain.	byx.lain.	13
pɔst.kar.tɘn.	pɔst.kar.tɘn.	13
tɔr.tɘn.	tɔr.tɘn.	13
ʃtɛn.dɘr.	ʃtɛn.dɘr.	13
re.pa.rirst.	re.pa.rirst.	13
bly.tɘn.	bly.tɘn.	13
ʃnai.dɘ.	ʃnai.dɘ.	13
markt.	markt.	13
vɪtz.	vɪts.	13
bɘ.ɛn.dɘn.	bɘ.ɛn.dɘn.	13
tɛ.di.bɛ.rɘn.	tɛ.di.bɛ.rɘn.	13
for.bai.fa.rɘn.	for.bai.fa.rɘn.	13
bɘ.dɔy.tɘt.	bɘ.dɔy.tɘt.	13
kɔ.rɛkt.	kɔ.rɛkt.	13
gist.	gist.	13
an.gɘ.nɔ.mɘn.	an.gɘ.nɔ.mɘn.	13
hɪn.tɘr.grʊnd.	hɪn.tɘr.grʊnt.	13
zib.tsen.tɘ.	zip.tsen.tɘ.	13
ɛn.dɘrn.	ɛn.dɘrn.	13
la.bil.	la.bil.	13
hɪn.tɘr.hof.	hɪn.tɘr.hof.	13
gɘ.fylt.	gɘ.fylt.	13
gɘ.tri.bɘn.	gɘ.tri.bɘn.	13
gʊr.kɘ.	gʊr.kɘ.	13
lʊt.ʃɘr.	lʊt.ʃɘr.	13
trɛ.pɘn.	trɛ.pɘn.	13
flur.	flur.	13
mɛrtz.	mɛrts.	13
ɛm.pfe.lɘn.	ɛm.pfe.lɘn.	13
ʃa.fɘ.	ʃa.fɘ.	13
ha.tɘt.	ha.tɘt.	13
gɛl.bɘ.	gɛl.bɘ.	13
rɛx.tɘn.	rɛx.tɘn.	13
vyr.fɘlt.	vyr.fɘlt.	13
bɘ.ʃtet.	bɘ.ʃtet.	13
bɛ.lɘ.	bɛ.lɘ.	13
rɔy.mɘ.	rɔy.mɘ.	13
tɔy.fɘl.	tɔy.fɘl.	13
ma.tra.tsɘ.	ma.tra.tsɘ.	13
blɛ.tɘrn.	blɛ.tɘrn.	13
vaʃ.ma.ʃi.nɘ.	vaʃ.ma.ʃi.nɘ.	13
fɛr.dint.	fɛr.dint.	13
fɛrn.ze.ɘn.	fɛrn.ze.ɘn.	13
mai.nɘt.ve.gɘn.	mai.nɘt.ve.gɘn.	13
auf.gɘ.vaxt.	auf.gɘ.vaxt.	13
vo.fɔn.	vo.fɔn.	13
krɔytz.	krɔyts.	13
ʃpi.gɘl.ai.	ʃpi.gɘl.ai.	13
fli.gɘr.	fli.gɘr.	13
tsvœlf.tɘ.	tsvœlf.tɘ.	13
lam.pɘn.	lam.pɘn.	13
vɛ.kɘr.	vɛ.kɘr.	13
rɛn.ban.	rɛn.ban.	13
dɛ.nɘ.mark.	dɛ.nɘ.mark.	13
ʃprɪtst.	ʃprɪtst.	13
baux.ʃmɛr.tsɘn.	baux.ʃmɛr.tsɘn.	13
ʃu.ɘn.	ʃu.ɘn.	13
pɛr.zøn.lɪx.	pɛr.zøn.lɪx.	13
ro.tɘ.	ro.tɘ.	13
hɔy.fɪx.	hɔy.fɪx.	13
os.tɘr.ai.ɘr.	os.tɘr.ai.ɘr.	13
di.vɛr.zɘ.	di.vɛr.zɘ.	13
vo.raus.	vo.raus.	13
kɪs.tɘn.	kɪs.tɘn.	13
gʊr.kɘn.	gʊr.kɘn.	13
lau.zɘn.	lau.zɘn.	13
daks.	daks.	13
her.gɘ.ʃtɛlt.	her.gɘ.ʃtɛlt.	13
vɛg.gɘ.ga.ŋɘn.	vɛk.gɘ.ga.ŋɘn.	13
ma.tro.zɘ.	ma.tro.zɘ.	13
ʃta.tiv.	ʃta.tif.	13
ru.dɘr.bot.	ru.dɘr.bot.	13
ze.laks.	ze.laks.	13
bre.tsɘln.	bre.tsɘln.	13
lai.zɘr.	lai.zɘr.	13
po.li.tsɪst.	po.li.tsɪst.	13
li.dɘr.	li.dɘr.	13
mɪt.gɘ.fa.rɘn.	mɪt.gɘ.fa.rɘn.	13
fɛrn.	fɛrn.	13
grɛ.tɘ.	grɛ.tɘ.	13
ki.lo.me.tɘr.	ki.lo.me.tɘr.	13
bu.dɘ.	bu.dɘ.	13
gɘ.pʊŋk.tɘt.	gɘ.pʊŋk.tɘt.	13
frɔynd.lɪ.xɘr.vai.zɘ.	frɔynt.lɪ.xɘr.vai.zɘ.	13
i.de.al.	i.de.al.	13
ʃvɪn.dɘ.lɪx.	ʃvɪn.dɘ.lɪx.	13
man.dɘln.	man.dɘln.	13
krai.zɘl.	krai.zɘl.	13
ʃe.rɘn.	ʃe.rɘn.	13
zu.vɘ.nir.	zu.vɘ.nir.	13
gɘ.ʃrai.	gɘ.ʃrai.	13
for.mɪ.tag.	for.mɪ.tak.	12
tɛ.ra.sɘ.	tɛ.ra.sɘ.	12
blɪtz.	blɪts.	12
he.bɘl.	he.bɘl.	12
vonst.	vonst.	12
nɛrft.	nɛrft.	12
zy.dɘn.	zy.dɘn.	12
an.gɘ.bot.	an.gɘ.bot.	12
ka.rɔ.tɘn.	ka.rɔ.tɘn.	12
nɔr.ve.gɘn.	nɔr.ve.gɘn.	12
gɘ.ʃo.bɘn.	gɘ.ʃo.bɘn.	12
glai.xɘ.	glai.xɘ.	12
gɘ.fɛr.lɪ.xɘ.	gɘ.fɛr.lɪ.xɘ.	12
gɘ.klɪ.ŋɘlt.	gɘ.klɪ.ŋɘlt.	12
zɛn.za.tsi.o.nɛl.	zɛn.za.tsi.o.nɛl.	12
auf.gɘ.past.	auf.gɘ.past.	12
flug.tsɔy.gɘn.	fluk.tsɔy.gɘn.	12
dɛ.kɘn.	dɛ.kɘn.	12
ʃraib.tɪʃ.	ʃraip.tɪʃ.	12
fɛ.tɘ.	fɛ.tɘ.	12
za.ɘn.	za.ɘn.	12
fɔr.nɘ.vɛg.	fɔr.nɘ.vɛk.	12
far.gɛs.tɘ.	far.gɛs.tɘ.	12
ʃʊs.	ʃʊs.	12
da.mɘn.	da.mɘn.	12
hyt.xɘn.	hyt.xɘn.	12
grø.sɘ.rɘs.	grø.sɘ.rɘs.	12
fɛr.pa.kʊŋ.	fɛr.pa.kʊŋ.	12
bɘ.zɔn.dɘ.rɘn.	bɘ.zɔn.dɘ.rɘn.	12
nɔr.dɘn.	nɔr.dɘn.	12
trost.	trost.	12
vɪnd.rɛ.dɘr.	vɪnt.rɛ.dɘr.	12
tsug.bry.kɘ.	tsuk.bry.kɘ.	12
ve.dɘr.	ve.dɘr.	12
frai.taks.	frai.taks.	12
i.de.ɘn.	i.de.ɘn.	12
tsau.bɘrn.	tsau.bɘrn.	12
grʊnd.zɛtz.lɪx.	grʊnt.zɛts.lɪx.	12
ge.gɘn.y.bɘr.	ge.gɘn.y.bɘr.	12
mʊs.tɘr.	mʊs.tɘr.	12
lʊs.tɪ.gɘn.	lʊs.tɪ.gɘn.	12
fry.lɪŋ.	fry.lɪŋ.	12
rain.le.gɘn.	rain.le.gɘn.	12
tsen.tɘ.	tsen.tɘ.	12
bakt.	bakt.	12
ʃtɛ.bɘ.	ʃtɛ.bɘ.	12
pups.	pups.	12
klai.nɘ.rɘs.	klai.nɘ.rɘs.	12
y.bɘr.holt.	y.bɘr.holt.	12
tɛm.pɘ.ra.tur.	tɛm.pɘ.ra.tur.	12
tsvai.tɘs.	tsvai.tɘs.	12
o.bɘr.lai.tʊŋ.	o.bɘr.lai.tʊŋ.	12
gɘ.vont.	gɘ.vont.	12
ɛr.ɪ.nɘrst.	ɛr.ɪ.nɘrst.	12
za.mɘln.	za.mɘln.	12
vai.tɘ.rɘ.	vai.tɘ.rɘ.	12
ɛr.le.dɪxt.	ɛr.le.dɪxt.	12
auf.ʃrai.bɘn.	auf.ʃrai.bɘn.	12
ab.ge.bɘn.	ap.ge.bɘn.	12
aus.drʊk.	aus.drʊk.	12
vʊrm.	vʊrm.	12
ɛnt.tɔyʃt.	ɛnt.tɔyʃt.	12
hɪn.fɛrt.	hɪn.fɛrt.	12
nɔy.ɘs.	nɔy.ɘs.	12
ʃrɛg.	ʃrɛk.	12
gry.sɘn.	gry.sɘn.	12
møg.lɪ.xɘ.	møk.lɪ.xɘ.	12
e.vɛn.tu.ɛl.	e.vɛn.tu.ɛl.	12
pu.dɘl.my.tsɘ.	pu.dɘl.my.tsɘ.	12
gɘ.vai.	gɘ.vai.	12
pʊm.pɘn.	pʊm.pɘn.	12
tsa.lɘn.	tsa.lɘn.	12
my.zam.	my.zam.	12
kal.tɘn.	kal.tɘn.	12
an.ʃpɪ.tsɘn.	an.ʃpɪ.tsɘn.	12
ʊn.tɘr.hɛmd.	ʊn.tɘr.hɛmt.	12
rɛxt.tsai.tɪx.	rɛxt.tsai.tɪx.	12
klap.tɘ.	klap.tɘ.	12
ʃtɛ.kɘr.	ʃtɛ.kɘr.	12
